age_group,gender,activity,bmi,resting_hr,daily_steps,sleep_hours,vo2_max
45–59,Female,Lightly Active,36.7,78,3586,9.4,37.3
30–44,Male,Lightly Active,21.2,62,6393,8.3,52.5
60+,Female,Lightly Active,37.3,70,4206,7.2,33.8
45–59,Male,Lightly Active,22.7,80,3903,5.2,45.6
18–29,Male,Sedentary,35.6,80,2812,7.4,35.6
60+,Female,Sedentary,33.3,60,3245,7.6,33.6
45–59,Male,Lightly Active,22.9,80,4182,8.0,44.0
45–59,Female,Lightly Active,28.9,79,6906,6.7,43.6
18–29,Male,Moderately Active,22.9,63,8576,7.1,50.2
30–44,Female,Moderately Active,25.4,60,10649,4.0,48.8
30–44,Male,Moderately Active,25.0,71,16064,6.5,49.4
60+,Male,Sedentary,27.2,82,2746,8.8,38.2
45–59,Female,Lightly Active,24.8,76,4792,5.4,39.9
45–59,Female,Moderately Active,25.6,68,10460,4.8,34.8
30–44,Male,Moderately Active,21.6,61,10081,8.2,48.8
18–29,Female,Lightly Active,23.0,68,5981,6.3,39.1
30–44,Male,Very Active,25.1,55,16119,8.2,66.3
18–29,Male,Moderately Active,25.9,55,10093,8.7,52.8
45–59,Male,Very Active,19.7,54,11668,7.4,50.0
45–59,Female,Moderately Active,21.3,61,12313,4.9,40.5
45–59,Female,Lightly Active,18.0,73,8470,7.4,33.7
30–44,Female,Very Active,25.0,50,14697,8.6,52.0
60+,Female,Very Active,24.5,57,17227,7.7,53.9
60+,Male,Moderately Active,21.0,66,5999,6.2,44.2
45–59,Male,Very Active,24.4,55,15935,6.9,61.8
18–29,Male,Very Active,27.6,57,22732,8.0,53.6
30–44,Female,Moderately Active,19.6,68,12259,7.7,39.7
18–29,Male,Sedentary,25.8,82,3123,7.7,35.4
18–29,Female,Lightly Active,20.3,68,6433,7.5,35.9
45–59,Female,Moderately Active,27.5,62,9842,4.7,43.3
45–59,Female,Moderately Active,24.2,73,11423,7.9,48.0
60+,Male,Lightly Active,24.9,71,8042,8.5,40.0
30–44,Male,Lightly Active,27.4,72,5747,7.3,40.2
30–44,Female,Very Active,21.5,55,18628,6.7,53.8
30–44,Female,Lightly Active,24.9,74,5287,7.5,36.9
18–29,Male,Sedentary,30.4,79,2650,8.9,37.5
18–29,Female,Moderately Active,22.5,70,8054,6.7,44.1
30–44,Female,Lightly Active,24.6,63,6740,6.7,36.0
18–29,Male,Sedentary,28.2,58,3066,7.3,36.4
45–59,Female,Moderately Active,24.8,55,11372,5.1,41.9
30–44,Male,Very Active,24.2,55,17079,7.2,58.1
45–59,Female,Lightly Active,28.8,65,7584,5.5,33.7
45–59,Male,Lightly Active,20.5,64,9627,4.4,49.2
30–44,Male,Lightly Active,32.1,88,7599,5.5,44.5
45–59,Male,Moderately Active,24.7,68,6158,5.5,49.4
45–59,Female,Lightly Active,25.2,75,6128,6.5,35.8
30–44,Female,Lightly Active,22.9,72,6447,8.3,36.4
30–44,Male,Moderately Active,30.9,59,7013,6.8,47.0
45–59,Male,Very Active,28.5,54,18905,5.4,61.6
18–29,Male,Lightly Active,34.0,70,9182,9.6,45.7
18–29,Male,Moderately Active,24.9,55,8593,7.8,48.1
18–29,Female,Moderately Active,25.6,74,13278,6.7,39.7
45–59,Male,Sedentary,36.8,58,3858,9.3,38.2
45–59,Female,Moderately Active,23.7,66,11103,5.3,45.0
45–59,Female,Lightly Active,28.7,64,7745,7.5,36.6
45–59,Male,Sedentary,30.2,93,2388,9.1,39.1
30–44,Female,Sedentary,39.0,82,3920,8.5,33.5
30–44,Female,Sedentary,36.5,81,4012,6.9,30.8
18–29,Female,Moderately Active,24.1,62,11549,6.2,42.6
18–29,Female,Moderately Active,29.4,76,11172,8.3,51.2
45–59,Male,Moderately Active,24.5,61,8754,7.7,50.7
30–44,Male,Moderately Active,22.8,61,12581,7.7,50.9
30–44,Female,Lightly Active,25.4,75,6521,6.9,35.1
45–59,Male,Very Active,23.2,50,15522,6.1,60.5
45–59,Female,Very Active,20.9,59,19304,9.3,47.4
30–44,Female,Lightly Active,24.4,71,6066,8.1,39.3
30–44,Male,Moderately Active,19.9,66,8947,8.5,41.7
30–44,Male,Moderately Active,21.9,66,12893,7.2,46.8
18–29,Male,Lightly Active,27.4,70,4236,7.1,42.8
30–44,Female,Sedentary,34.4,65,3582,7.3,31.8
18–29,Male,Lightly Active,30.2,75,4653,8.0,43.3
30–44,Male,Very Active,23.8,49,9663,5.2,61.9
60+,Female,Moderately Active,19.6,63,11945,6.7,42.7
18–29,Female,Moderately Active,21.7,64,11213,7.6,47.9
18–29,Female,Very Active,22.3,62,13787,5.2,46.3
30–44,Female,Sedentary,34.0,78,2075,4.3,28.1
30–44,Male,Very Active,21.5,59,17184,7.8,63.0
45–59,Female,Lightly Active,21.6,66,5797,6.2,34.4
30–44,Female,Moderately Active,29.1,62,12240,5.2,44.1
45–59,Male,Lightly Active,23.6,82,5636,9.1,44.0
45–59,Male,Lightly Active,22.0,74,5862,6.5,40.5
30–44,Male,Lightly Active,27.4,77,8163,6.0,39.5
45–59,Female,Lightly Active,26.3,76,4958,8.7,34.7
18–29,Female,Sedentary,26.4,83,1835,7.1,31.3
18–29,Female,Lightly Active,26.5,77,5097,6.5,39.6
18–29,Female,Moderately Active,21.5,61,11032,6.1,43.3
45–59,Male,Very Active,21.6,62,22689,7.7,55.6
30–44,Female,Sedentary,28.8,89,3121,4.6,37.1
18–29,Female,Sedentary,18.4,78,2302,6.2,38.3
30–44,Female,Moderately Active,27.6,67,8676,5.0,43.6
18–29,Male,Moderately Active,20.1,66,11402,7.6,48.1
45–59,Female,Moderately Active,21.5,56,6686,7.9,42.9
30–44,Female,Very Active,25.2,55,9414,7.4,51.0
30–44,Male,Sedentary,32.0,65,3157,8.2,34.2
30–44,Female,Lightly Active,26.8,71,7827,5.9,37.7
45–59,Male,Very Active,18.7,59,19184,4.9,57.1
30–44,Male,Moderately Active,22.6,62,11261,7.5,46.0
18–29,Female,Moderately Active,23.8,59,13133,6.5,40.8
18–29,Male,Very Active,22.5,51,15339,6.0,54.0
60+,Female,Lightly Active,31.1,84,5932,5.4,42.8
60+,Female,Sedentary,39.4,72,2958,5.4,28.1
45–59,Male,Sedentary,32.2,72,3236,8.9,41.5
18–29,Male,Moderately Active,22.8,60,19059,5.5,56.5
60+,Male,Very Active,25.7,58,15311,7.8,56.6
45–59,Male,Sedentary,25.9,67,3143,6.4,45.6
45–59,Female,Lightly Active,16.0,73,9106,5.7,38.4
30–44,Male,Moderately Active,20.5,60,11719,5.6,51.9
18–29,Female,Sedentary,16.7,83,1656,7.2,27.5
18–29,Male,Very Active,21.9,59,22016,6.7,62.1
60+,Male,Lightly Active,25.8,69,6986,7.7,43.8
30–44,Female,Very Active,19.0,57,6067,4.5,49.7
18–29,Male,Moderately Active,21.8,66,9604,6.1,48.6
30–44,Female,Lightly Active,20.8,73,5419,6.5,35.0
30–44,Female,Moderately Active,24.1,63,9455,3.8,46.3
18–29,Female,Moderately Active,21.8,66,10422,7.6,41.5
60+,Male,Lightly Active,30.5,71,7583,5.7,41.8
45–59,Male,Lightly Active,27.2,67,8400,7.4,42.0
45–59,Female,Moderately Active,29.6,69,13368,8.3,39.2
30–44,Male,Moderately Active,23.0,73,14026,6.0,56.0
45–59,Female,Moderately Active,31.4,66,10059,5.9,43.5
30–44,Female,Lightly Active,26.5,72,3365,7.1,34.8
45–59,Female,Moderately Active,22.8,69,4993,6.9,39.7
18–29,Female,Moderately Active,32.2,66,12202,6.5,47.1
30–44,Female,Lightly Active,19.2,79,6409,6.6,39.1
18–29,Male,Lightly Active,24.3,73,8745,6.2,39.0
30–44,Female,Lightly Active,19.8,76,7195,5.0,26.0
30–44,Female,Moderately Active,18.6,74,6640,7.1,43.6
18–29,Male,Sedentary,18.3,81,2516,5.5,45.5
18–29,Female,Very Active,24.3,59,17498,7.5,46.9
30–44,Male,Lightly Active,21.2,66,4829,8.5,47.4
18–29,Male,Very Active,22.2,54,21268,5.1,64.1
60+,Female,Sedentary,33.6,70,2647,7.4,27.8
30–44,Female,Moderately Active,26.0,61,9791,7.0,39.1
30–44,Male,Moderately Active,25.8,65,6970,6.8,48.6
30–44,Female,Moderately Active,28.4,65,14983,6.7,44.5
18–29,Male,Very Active,26.7,55,15315,4.1,58.4
60+,Male,Sedentary,22.5,86,3232,7.1,39.5
30–44,Male,Sedentary,31.5,90,2381,8.1,50.3
45–59,Female,Sedentary,27.6,78,2684,5.6,36.3
18–29,Male,Lightly Active,25.9,64,6961,7.4,43.6
30–44,Male,Moderately Active,19.7,65,11454,8.3,49.2
30–44,Female,Sedentary,26.2,61,3460,8.1,31.5
60+,Male,Moderately Active,23.1,65,12724,9.1,55.0
30–44,Male,Lightly Active,32.2,66,7539,6.1,38.9
30–44,Male,Very Active,20.0,62,17909,9.1,56.1
18–29,Female,Lightly Active,17.0,68,5513,6.2,30.5
30–44,Female,Very Active,22.8,59,15210,5.6,51.2
30–44,Female,Moderately Active,20.5,61,7799,8.3,45.0
30–44,Male,Very Active,22.5,55,14250,7.3,51.3
18–29,Male,Moderately Active,26.6,67,11439,8.0,43.6
45–59,Female,Lightly Active,26.1,73,7101,8.2,38.1
60+,Male,Moderately Active,23.1,64,11957,6.8,51.4
18–29,Male,Lightly Active,25.9,69,8706,9.1,39.2
30–44,Male,Lightly Active,29.9,70,4530,6.0,43.9
18–29,Male,Lightly Active,21.9,68,3699,6.1,47.6
45–59,Male,Very Active,24.5,56,15079,8.4,58.9
30–44,Female,Moderately Active,21.3,74,13744,8.3,41.3
45–59,Male,Sedentary,32.1,65,4153,8.4,37.2
45–59,Female,Very Active,19.1,59,16695,5.3,40.1
45–59,Male,Lightly Active,28.7,69,6072,9.3,41.9
18–29,Female,Sedentary,28.5,62,3209,6.2,34.3
60+,Female,Sedentary,29.5,96,3896,5.9,32.8
18–29,Female,Sedentary,34.0,90,2376,5.6,36.0
18–29,Male,Moderately Active,21.9,66,9243,6.8,57.5
30–44,Female,Lightly Active,26.4,70,6643,7.0,38.0
30–44,Male,Sedentary,30.6,78,3895,7.5,31.8
45–59,Female,Lightly Active,25.3,75,7752,7.5,36.0
45–59,Female,Very Active,24.5,60,9104,5.8,54.6
30–44,Female,Moderately Active,25.6,51,12342,7.3,47.9
60+,Female,Lightly Active,24.2,75,6478,5.3,31.4
30–44,Female,Moderately Active,28.5,62,11900,6.2,39.5
30–44,Female,Sedentary,31.9,85,2827,9.2,32.2
18–29,Male,Very Active,20.8,63,17747,4.5,60.6
60+,Male,Sedentary,24.6,81,3037,9.3,36.4
18–29,Female,Sedentary,27.9,64,2564,7.1,35.3
18–29,Female,Lightly Active,28.3,68,5362,4.8,27.0
30–44,Male,Sedentary,17.5,85,2846,6.8,39.4
60+,Male,Sedentary,24.8,61,1964,7.8,35.2
60+,Female,Moderately Active,22.7,67,9526,7.5,41.8
45–59,Male,Lightly Active,20.7,76,6017,7.7,38.8
60+,Male,Sedentary,23.7,81,3829,7.4,40.1
60+,Male,Moderately Active,24.9,65,11959,6.9,52.2
30–44,Male,Moderately Active,22.9,66,14928,8.3,50.9
30–44,Female,Very Active,21.8,60,10127,6.5,54.5
45–59,Male,Sedentary,21.8,89,2794,8.6,40.5
45–59,Male,Very Active,22.3,56,20314,5.2,57.6
30–44,Female,Moderately Active,19.7,63,11103,6.0,40.6
18–29,Male,Moderately Active,29.2,69,10020,6.0,51.6
45–59,Male,Lightly Active,33.5,70,5101,5.2,42.9
18–29,Male,Lightly Active,24.6,61,7541,8.4,43.7
60+,Male,Sedentary,23.2,73,3149,6.7,44.3
18–29,Female,Moderately Active,27.2,62,9756,6.4,49.8
18–29,Male,Moderately Active,26.4,66,12718,7.2,48.7
45–59,Male,Sedentary,38.7,80,4790,7.8,41.6
18–29,Male,Lightly Active,35.1,64,5167,6.9,42.0
18–29,Male,Very Active,17.9,53,18041,7.1,54.4
30–44,Male,Lightly Active,31.1,71,6707,8.7,35.1
60+,Male,Moderately Active,23.8,74,11928,7.5,52.3
18–29,Male,Very Active,24.1,57,20621,5.3,55.2
30–44,Male,Sedentary,33.0,60,4137,7.3,46.7
45–59,Female,Moderately Active,26.9,68,9403,7.5,40.1
60+,Male,Moderately Active,27.7,65,6851,7.0,49.9
30–44,Male,Lightly Active,24.3,62,6359,7.6,47.9
18–29,Female,Lightly Active,22.7,77,6368,7.4,48.0
18–29,Male,Very Active,25.6,56,6365,5.9,53.5
18–29,Female,Sedentary,24.5,58,3810,8.2,31.1
18–29,Male,Sedentary,38.7,69,2579,8.8,40.6
45–59,Male,Lightly Active,23.4,63,6422,8.1,43.7
18–29,Female,Moderately Active,23.3,61,9244,6.2,45.8
30–44,Male,Lightly Active,25.7,74,6188,6.1,45.7
45–59,Male,Lightly Active,20.3,64,8414,7.1,50.0
30–44,Female,Lightly Active,20.3,69,6626,5.0,37.0
18–29,Female,Lightly Active,30.1,70,9682,6.5,41.4
45–59,Male,Moderately Active,19.0,67,11883,5.0,49.9
45–59,Female,Very Active,28.8,54,18454,9.2,52.3
45–59,Male,Lightly Active,26.1,70,6193,6.2,45.9
18–29,Female,Moderately Active,21.2,61,10367,5.0,42.7
18–29,Male,Moderately Active,25.8,70,12771,4.9,47.1
60+,Female,Moderately Active,16.6,68,13111,6.5,46.4
30–44,Male,Moderately Active,23.4,68,11086,7.8,45.8
30–44,Female,Sedentary,27.9,59,3445,7.5,35.6
30–44,Male,Moderately Active,20.4,67,10191,6.6,52.5
45–59,Female,Moderately Active,22.5,62,10983,8.7,51.8
60+,Female,Moderately Active,29.4,60,10691,6.4,46.4
30–44,Female,Lightly Active,27.2,74,6559,7.5,30.5
60+,Female,Sedentary,31.1,81,3801,3.2,29.2
18–29,Male,Sedentary,24.9,63,2959,7.9,39.9
30–44,Female,Sedentary,22.1,85,2496,9.2,31.4
45–59,Male,Sedentary,27.7,88,2784,7.9,41.4
