date,revenue,orders,marketing_spend,website_traffic,conversion_rate,avg_order_value,month,month_name,day_of_week,week
2025-01-01,50993.43,591,9177.4,14734,4.01,86.28,1,January,Wednesday,1
2025-01-02,52247.88,619,8690.64,15514,3.99,84.41,1,January,Thursday,1
2025-01-03,54577.95,642,9570.36,15050,4.27,85.01,1,January,Friday,1
2025-01-04,54884.29,647,8539.45,16633,3.89,84.83,1,January,Saturday,1
2025-01-05,48945.3,560,9430.2,14173,3.95,87.4,1,January,Sunday,1
2025-01-06,47500.7,559,9036.36,14474,3.86,84.97,1,January,Monday,2
2025-01-07,51885.0,620,9278.81,14051,4.41,83.69,1,January,Tuesday,2
2025-01-08,52785.0,650,9714.15,17294,3.76,81.21,1,January,Wednesday,2
2025-01-09,52834.45,640,10059.49,15930,4.02,82.55,1,January,Thursday,2
2025-01-10,55615.25,697,9956.41,17979,3.88,79.79,1,January,Friday,2
2025-01-11,52157.25,598,8252.14,14430,4.14,87.22,1,January,Saturday,2
2025-01-12,49726.0,602,8338.29,15356,3.92,82.6,1,January,Sunday,2
2025-01-13,49694.48,588,8663.15,14173,4.15,84.51,1,January,Monday,3
2025-01-14,46139.03,586,8704.17,14338,4.09,78.74,1,January,Tuesday,3
2025-01-15,49036.47,560,9181.75,14957,3.74,87.57,1,January,Wednesday,3
2025-01-16,53881.88,617,8947.68,15329,4.03,87.33,1,January,Thursday,3
2025-01-17,53734.13,620,9392.11,15608,3.97,86.67,1,January,Friday,3
2025-01-18,54938.55,603,9017.39,15510,3.89,91.11,1,January,Saturday,3
2025-01-19,50063.43,578,8699.32,14697,3.93,86.61,1,January,Sunday,3
2025-01-20,47603.73,544,8104.97,13675,3.98,87.51,1,January,Monday,4
2025-01-21,54110.16,639,8867.2,16157,3.95,84.68,1,January,Tuesday,4
2025-01-22,53243.24,633,8583.62,17026,3.72,84.11,1,January,Wednesday,4
2025-01-23,56344.94,700,9019.66,17471,4.01,80.49,1,January,Thursday,4
2025-01-24,54108.4,655,9855.49,16475,3.98,82.61,1,January,Friday,4
2025-01-25,54413.8,628,8878.4,16225,3.87,86.65,1,January,Saturday,4
2025-01-26,53287.96,608,10579.23,15752,3.86,87.64,1,January,Sunday,4
2025-01-27,49306.86,589,9191.21,15318,3.85,83.71,1,January,Monday,5
2025-01-28,53104.37,598,9340.77,15269,3.92,88.8,1,January,Tuesday,5
2025-01-29,53660.97,667,8863.7,16103,4.14,80.45,1,January,Wednesday,5
2025-01-30,56787.03,691,9893.12,18091,3.82,82.18,1,January,Thursday,5
2025-01-31,56907.84,660,9264.81,15926,4.14,86.22,1,January,Friday,5
2025-02-01,60353.05,675,9889.25,17026,3.96,89.41,2,February,Saturday,5
2025-02-02,54177.36,664,10614.23,16222,4.09,81.59,2,February,Sunday,5
2025-02-03,50623.73,593,9001.87,14792,4.01,85.37,2,February,Monday,6
2025-02-04,55120.18,673,9984.25,16989,3.96,81.9,2,February,Tuesday,6
2025-02-05,53534.23,597,8931.15,15085,3.96,89.67,2,February,Wednesday,6
2025-02-06,58893.14,680,9693.96,17210,3.95,86.61,2,February,Thursday,6
2025-02-07,55287.98,650,10308.44,17056,3.81,85.06,2,February,Friday,6
2025-02-08,55079.03,648,9092.84,16426,3.94,85.0,2,February,Saturday,6
2025-02-09,55675.59,646,10360.27,16027,4.03,86.19,2,February,Sunday,6
2025-02-10,55283.96,662,9776.59,17032,3.89,83.51,2,February,Monday,7
2025-02-11,54875.84,624,9108.83,16194,3.85,87.94,2,February,Tuesday,7
2025-02-12,56792.55,665,9859.61,16011,4.15,85.4,2,February,Wednesday,7
2025-02-13,58910.81,695,10199.14,17673,3.93,84.76,2,February,Thursday,7
2025-02-14,57277.35,684,9893.09,17450,3.92,83.74,2,February,Friday,7
2025-02-15,57312.03,688,8799.85,17051,4.03,83.3,2,February,Saturday,7
2025-02-16,55365.93,628,9065.71,16387,3.83,88.16,2,February,Sunday,7
2025-02-17,56915.43,638,9429.47,15874,4.02,89.21,2,February,Monday,8
2025-02-18,56203.1,686,9459.03,17212,3.99,81.93,2,February,Tuesday,8
2025-02-19,54468.93,647,9667.85,16088,4.02,84.19,2,February,Wednesday,8
2025-02-20,61120.55,704,9978.49,17607,4.0,86.82,2,February,Thursday,8
2025-02-21,60411.59,741,9165.25,17976,4.12,81.53,2,February,Friday,8
2025-02-22,58333.03,688,9856.74,16479,4.18,84.79,2,February,Saturday,8
2025-02-23,58433.33,711,9979.96,18572,3.83,82.18,2,February,Sunday,8
2025-02-24,57773.38,681,9901.77,16601,4.1,84.84,2,February,Monday,9
2025-02-25,58275.86,726,10202.46,17654,4.11,80.27,2,February,Tuesday,9
